Round,Train_Loss,Test_Loss,Test_Acc
75,0.15497313141822816,0.11887640506029129,0.9659633636474609
76,0.09497250467538834,0.1188344806432724,0.9659633636474609
77,0.2049261823296547,0.11879583448171616,0.9660629034042358
78,0.1281808577477932,0.1187344416975975,0.9659633636474609
79,0.14793264195322992,0.11871585994958878,0.9659633636474609
80,0.10234615877270699,0.11867973953485489,0.9659633636474609
81,0.1446566879749298,0.1186647117137909,0.9659633636474609
82,0.13273161351680757,0.11862505972385406,0.9659633636474609
83,0.11245759874582291,0.11857816576957703,0.9659633636474609
84,0.09493257477879524,0.11852100491523743,0.9659633636474609
85,0.12529751360416413,0.11846916377544403,0.9660629034042358
86,0.1278780698776245,0.11841916292905807,0.9659633636474609
87,0.12080677896738053,0.11837246268987656,0.9659633636474609
88,0.11283453553915024,0.11833316087722778,0.9659633636474609
89,0.11228027492761612,0.11827009916305542,0.9660629034042358
90,0.11887211799621582,0.11823740601539612,0.9661624431610107
91,0.1570113182067871,0.11819787323474884,0.9660629034042358
92,0.11441824734210967,0.1181463897228241,0.9661624431610107
93,0.17155501693487168,0.1181083619594574,0.9662619233131409
94,0.1266355872154236,0.11807204782962799,0.9662619233131409
95,0.1583441898226738,0.11799191683530807,0.9663614630699158
96,0.15171179473400115,0.11791188269853592,0.9663614630699158
97,0.1858924373984337,0.11786584556102753,0.9666600227355957
98,0.07435770034790039,0.1177874282002449,0.9668591022491455
99,0.10939286798238754,0.11772924661636353,0.9667595624923706
100,0.14276154339313507,0.11767658591270447,0.9667595624923706
